kic,fits_count,download
10080482,17,Y
10030372,14,Y
11030475,17,Y
10015663,9,Y
10094872,14,Y
10123041,2,Y
10030386,14,Y
10075316,17,Y
10089395,14,Y
10024786,12,Y
10080218,17,Y
10027103,11,Y
10118658,17,Y
10095365,14,Y
10034389,15,Y
10122158,18,Y
10030943,15,Y
10092716,15,Y
10002049,17,Y
10019065,17,Y
10014548,18,Y
10068833,1,Y
10015467,18,Y
10014787,18,Y
10068659,17,Y
10075320,17,Y
10123621,1,Y
10055727,17,Y
10025662,14,Y
10120296,9,Y
10034146,14,Y
10122999,17,Y
100001133,0,N
10007364,18,Y
10059313,17,Y
10090621,14,Y
10094281,14,Y
10090413,14,Y
10055986,2,Y
10007169,17,Y
10066962,17,Y
10080211,17,Y
10078400,9,Y
10057413,2,Y
100001134,0,N
9466668,17,Y
10069912,17,Y
8280511,18,Y
10088276,8,Y
10001636,1,Y
10067424,17,Y
10003161,17,Y
10035631,15,Y
10026226,14,Y
10007397,17,Y
10065717,2,Y
10073672,14,Y
10054050,17,Y
10030986,14,Y
10070800,17,Y
10058656,17,Y
10124058,17,Y
10122169,17,Y
10122955,17,Y
10119126,18,Y
10094286,14,Y
10071328,17,Y
10004975,18,Y
10119542,18,Y
10074890,18,Y
10059186,17,Y
10093467,14,Y
10019464,18,Y
10016874,17,Y
10118266,17,Y
10119724,17,Y
10087093,14,Y
10053448,17,Y
10019490,17,Y
3832474,17,Y
10070265,17,Y
10124033,17,Y
10130057,17,Y
10120003,17,Y
10006675,17,Y
10030919,14,Y
10054004,17,Y
10001808,17,Y
10083606,17,Y
10093494,15,Y
10128256,3,Y
10026844,14,Y
10079324,17,Y
10089758,15,Y
10095307,14,Y
10082344,17,Y
10062798,17,Y
10019007,14,Y
10080077,18,Y
10002817,18,Y
10007559,17,Y
10120460,17,Y
10062753,17,Y
10068867,17,Y
10059378,17,Y
10029833,14,Y
10006672,18,Y
10028915,14,Y
10088225,14,Y
10063211,17,Y
10034320,15,Y
10025060,14,Y
10088473,14,Y
10124206,6,Y
10119371,2,Y
10083254,17,Y
10018573,17,Y
10098876,1,Y
10057811,17,Y
10063218,17,Y
10093664,15,Y
10090485,1,Y
10094217,14,Y
10088648,11,Y
10025069,14,Y
10026071,14,Y
5972334,14,Y
10055577,17,Y
10066755,9,Y
10000547,18,Y
10090482,14,Y
10118250,18,Y
10026881,15,Y
10005831,14,Y
10065920,17,Y
10053228,1,Y
10122937,18,Y
10054831,6,Y
10079315,14,Y
10002025,17,Y
10055928,18,Y
10088442,15,Y
10003593,18,Y
10124839,17,Y
10007301,17,Y
10123220,17,Y
10005690,17,Y
10083862,17,Y
10002687,16,Y
10062762,18,Y
10001002,18,Y
10079118,17,Y
10083608,14,Y
10004928,17,Y
4157325,14,Y
10662202,17,Y
10089163,14,Y
10006412,17,Y
10066193,18,Y
10006244,6,Y
10079947,17,Y
10057620,18,Y
10007150,16,Y
10067287,17,Y
10002610,17,Y
10066355,17,Y
10078861,17,Y
10129779,17,Y
10123627,17,Y
10063071,17,Y
10124630,1,Y
10058491,18,Y
10090071,11,Y
10858691,17,Y
10004974,17,Y
10089994,14,Y
10031855,1,Y
10029096,14,Y
10025831,14,Y
10014578,17,Y
10007533,17,Y
10005056,17,Y
9950612,17,Y
10095399,11,Y
10073680,17,Y
10082920,17,Y
10122150,17,Y
10073674,17,Y
10120607,6,Y
10053617,16,Y
10006627,17,Y
10094046,14,Y
10006288,17,Y
10058234,17,Y
10093607,15,Y
10065944,18,Y
10095160,14,Y
10122953,17,Y
10058496,18,Y
10001898,17,Y
10002413,17,Y
10124265,17,Y
10000344,16,Y
10028976,14,Y
10007737,18,Y
10031093,11,Y
10092728,14,Y
10065171,17,Y
10093890,11,Y
10015662,18,Y
10067242,18,Y
10015450,16,Y
10073642,17,Y
10082571,16,Y
10070468,17,Y
10088877,14,Y
10005609,17,Y
10128463,18,Y
10122159,14,Y
10000981,18,Y
10004945,18,Y
10018714,14,Y
10079723,17,Y
10086919,15,Y
10068803,17,Y
10083837,17,Y
10098671,14,Y
10092945,9,Y
10005093,2,Y
10053414,8,Y
10057888,1,Y
10099101,11,Y
10082549,17,Y
10069925,17,Y
10054093,1,Y
10026681,11,Y
10029868,14,Y
10068656,16,Y
10059575,17,Y
10022810,14,Y
10082576,17,Y
10119581,4,Y
10098870,14,Y
10089902,14,Y
10062936,8,Y
10083404,17,Y
10097236,14,Y
10071179,17,Y
10091797,14,Y
10086720,14,Y
10080611,1,Y
10019205,17,Y
10019661,15,Y
10026413,14,Y
10098625,14,Y
10125310,17,Y
10063483,18,Y
10006828,17,Y
10018778,18,Y
10031808,15,Y
10058860,18,Y
10002672,17,Y
10014945,17,Y
10069511,18,Y
10005239,2,Y
10121916,17,Y
10080424,17,Y
10025854,14,Y
10066901,17,Y
10034926,15,Y
10031468,14,Y
10097467,11,Y
10086727,15,Y
10125328,18,Y
10010975,14,Y
10089905,14,Y
10078497,17,Y
10128261,17,Y
10075388,16,Y
10007135,8,Y
10088444,14,Y
10003595,9,Y
10069378,14,Y
10007763,1,Y
10063226,4,Y
10093468,14,Y
10129976,17,Y
10066566,18,Y
10090219,14,Y
10053675,18,Y
10062556,18,Y
10003561,9,Y
10118893,17,Y
10083899,17,Y
10002816,17,Y
10067449,17,Y
10081150,18,Y
10092547,14,Y
10003568,14,Y
10067482,17,Y
10094811,14,Y
10062594,18,Y
10068892,18,Y
10058409,17,Y
10088640,13,Y
10069188,2,Y
10062560,18,Y
10065745,17,Y
10122336,17,Y
10018923,18,Y
10001456,2,Y
10059173,5,Y
10128250,17,Y
10119517,18,Y
10018771,18,Y
10080243,14,Y
6678383,18,Y
10066568,18,Y
10086988,14,Y
10019233,17,Y
10119187,17,Y
10065928,18,Y
10001809,17,Y
10089553,3,Y
10016076,16,Y
10007104,17,Y
10062593,18,Y
10068895,2,Y
10123025,17,Y
10019668,18,Y
10020230,17,Y
100001645,3,Y
10065092,17,Y
10020002,17,Y
10006362,18,Y
10089879,14,Y
10064988,17,Y
6462863,9,Y
10016309,17,Y
10019173,16,Y
5364071,17,Y
10028634,15,Y
10083786,14,Y
10062886,1,Y
10030855,14,Y
10014698,17,Y
100000936,0,N
10090701,14,Y
10097944,14,Y
4139816,17,Y
10088190,14,Y
10098302,2,Y
10026908,14,Y
10120721,18,Y
10019983,17,Y
10071237,17,Y
10025321,15,Y
10016103,2,Y
10031345,14,Y
10089284,14,Y
10002167,17,Y
10034405,14,Y
100000931,0,N
10122875,16,Y
10034896,14,Y
10097375,14,Y
10087113,13,Y
10019948,17,Y
10055855,17,Y
10073764,18,Y
100000938,0,N
10083318,14,Y
10119659,18,Y
10007611,2,Y
10124727,17,Y
10055060,18,Y
10064727,1,Y
10033272,11,Y
10089877,14,Y
10026901,14,Y
10018400,1,Y
10097171,14,Y
10082691,17,Y
10070788,17,Y
10086655,9,Y
9886361,17,Y
10002952,17,Y
10119692,10,Y
10030890,14,Y
10025122,14,Y
10011125,17,Y
10029985,15,Y
10014201,17,Y
10003242,2,Y
10024460,15,Y
10006730,14,Y
10097149,14,Y
10071206,18,Y
10007286,14,Y
10078985,17,Y
10001171,14,Y
10000291,18,Y
10028266,11,Y
10014830,17,Y
10123398,14,Y
10004864,18,Y
10028292,14,Y
10120945,17,Y
10089870,14,Y
10080353,17,Y
10019747,18,Y
10064921,18,Y
10088768,7,Y
10118979,15,Y
10000800,17,Y
10119097,18,Y
100000954,0,N
10067308,17,Y
10005788,17,Y
10097310,15,Y
9489524,18,Y
10025344,3,Y
10017286,4,Y
9757613,17,Y
10069259,17,Y
10025720,14,Y
10087149,14,Y
10129857,17,Y
10098969,14,Y
10030808,14,Y
10095820,14,Y
10015717,18,Y
10081040,14,Y
10018454,18,Y
10029121,11,Y
10015945,17,Y
10058384,18,Y
10118384,7,Y
10025388,11,Y
10025986,14,Y
100000953,0,N
10097541,14,Y
10083989,14,Y
11014932,17,Y
10093571,14,Y
10094566,14,Y
10017047,14,Y
4548011,18,Y
10003211,2,Y
11601584,14,Y
10006797,15,Y
10070717,18,Y
10088750,14,Y
10095012,14,Y
10092237,14,Y
10053930,17,Y
10024862,13,Y
10065836,17,Y
10120920,17,Y
10058948,17,Y
10015987,14,Y
10094550,15,Y
10130148,17,Y
10129859,17,Y
10070974,17,Y
10025944,14,Y
10020297,17,Y
10024405,15,Y
10092806,14,Y
10018805,17,Y
10079832,17,Y
10001326,18,Y
10023076,15,Y
10124113,17,Y
10023082,14,Y
10005772,18,Y
10094937,15,Y
10123560,18,Y
10087178,14,Y
10025711,14,Y
10011524,16,Y
10066476,17,Y
10001584,17,Y
10015980,18,Y
10091819,2,Y
10016739,17,Y
10080157,17,Y
10079452,17,Y
10018465,17,Y
100000962,0,N
10122826,17,Y
10070726,14,Y
10000207,18,Y
8395660,18,Y
10071056,18,Y
10015721,17,Y
10071264,17,Y
10018802,17,Y
10124584,17,Y
10024402,15,Y
10001577,2,Y
10029913,14,Y
10120316,17,Y
10024461,14,Y
10003243,17,Y
10026938,13,Y
10079258,17,Y
10078984,17,Y
10022908,14,Y
10098590,15,Y
10007617,17,Y
10016557,17,Y
10065297,17,Y
10129802,17,Y
10030608,14,Y
10001973,14,Y
10095244,15,Y
10006158,18,Y
10065638,14,Y
10092637,14,Y
10065852,14,Y
10090352,14,Y
10000069,17,Y
10011329,18,Y
10030092,15,Y
10020032,1,Y
10005147,18,Y
10055061,18,Y
10070928,17,Y
10015745,16,Y
100000939,0,N
10018866,17,Y
10089411,1,Y
10030066,14,Y
10063193,17,Y
10002396,17,Y
10069234,16,Y
10019527,17,Y
10090193,11,Y
10088950,14,Y
10065069,17,Y
10748390,15,Y
10057997,17,Y
10074927,17,Y
10127954,17,Y
10066886,17,Y
10067168,17,Y
10019976,17,Y
10073595,17,Y
10026797,14,Y
10066275,17,Y
10015787,18,Y
10123151,5,Y
10000255,18,Y
10124710,17,Y
100001643,0,N
10034404,14,Y
10123707,16,Y
10460984,17,Y
10001717,17,Y
10120512,16,Y
10121853,18,Y
10094737,15,Y
10065299,17,Y
10028858,15,Y
10070579,3,Y
10019347,17,Y
10124179,8,Y
100000930,0,N
10068740,17,Y
10059007,2,Y
10081023,14,Y
10098932,13,Y
10001728,17,Y
10090151,14,Y
10083926,17,Y
6850504,17,Y
10089420,14,Y
10098760,14,Y
10017023,17,Y
10018857,17,Y
10097942,14,Y
10069498,17,Y
10031185,14,Y
10004898,17,Y
4077526,14,Y
100001644,0,N
10069008,16,Y
10019971,17,Y
10025929,15,Y
10018602,17,Y
